index.js:11191 Adaptive Video Streaming Service by www.bitmovin.com
index.js:11191 Player Version 8.100.0
index.js:52632 {CMCD-Request: 'su', CMCD-Object: 'ot=m', CMCD-Session: 'cid="1111-111111-111111-11111",sf=h,sid="6e2fb550-c457-11e9-bb97-0800200c9a66",st=v'}
index.js:52632 {CMCD-Request: 'su', CMCD-Object: 'ot=m', CMCD-Session: 'cid="1111-111111-111111-11111",sf=h,sid="6e2fb550-c457-11e9-bb97-0800200c9a66",st=v'}
index.js:52632 {CMCD-Request: 'bl=0,dl=0,su', CMCD-Object: 'ot=a', CMCD-Session: 'cid="1111-111111-111111-11111",sf=h,sid="6e2fb550-c457-11e9-bb97-0800200c9a66",st=v'}
index.js:52632 {CMCD-Request: 'bl=0,dl=0,su', CMCD-Object: 'ot=a', CMCD-Session: 'cid="1111-111111-111111-11111",sf=h,sid="6e2fb550-c457-11e9-bb97-0800200c9a66",st=v'}
index.js:52632 {CMCD-Request: 'bl=0,dl=0,su', CMCD-Object: 'ot=a', CMCD-Session: 'cid="1111-111111-111111-11111",sf=h,sid="6e2fb550-c457-11e9-bb97-0800200c9a66",st=v'}
index.js:52632 {CMCD-Request: 'bl=0,dl=0,mtp=13.06,su', CMCD-Object: 'ot=a', CMCD-Session: 'cid="1111-111111-111111-11111",sf=h,sid="6e2fb550-c457-11e9-bb97-0800200c9a66",st=v'}
index.js:52632 {CMCD-Request: 'bl=0,dl=0,mtp=13.06,su', CMCD-Object: 'ot=a', CMCD-Session: 'cid="1111-111111-111111-11111",sf=h,sid="6e2fb550-c457-11e9-bb97-0800200c9a66",st=v'}
index.js:52632 {CMCD-Request: 'bl=3993.8321995464853,dl=3993.8321995464853,mtp=167.64,su', CMCD-Object: 'ot=a', CMCD-Session: 'cid="1111-111111-111111-11111",sf=h,sid="6e2fb550-c457-11e9-bb97-0800200c9a66",st=v'}
index.js:52632 {CMCD-Request: 'bl=3890.1140000000005,dl=3890.1140000000005,mtp=97.58,su', CMCD-Object: 'br=14923,ot=v,tb=14922.982', CMCD-Session: 'cid="1111-111111-111111-11111",sf=h,sid="6e2fb550-c457-11e9-bb97-0800200c9a66",st=v'}
index.js:52632 {CMCD-Request: 'bl=7494.683,dl=7494.683,mtp=234.23,su', CMCD-Object: 'ot=a', CMCD-Session: 'cid="1111-111111-111111-11111",sf=h,sid="6e2fb550-c457-11e9-bb97-0800200c9a66",st=v'}
index.js:52632 {CMCD-Request: 'bl=6937.753000000001,dl=6937.753000000001,mtp=359.63,su', CMCD-Object: 'br=14923,ot=v,tb=14922.982', CMCD-Session: 'cid="1111-111111-111111-11111",sf=h,sid="6e2fb550-c457-11e9-bb97-0800200c9a66",st=v'}
index.js:52632 {CMCD-Request: 'bl=10332.928,dl=10332.928,mtp=98.68,su', CMCD-Object: 'ot=a', CMCD-Session: 'cid="1111-111111-111111-11111",sf=h,sid="6e2fb550-c457-11e9-bb97-0800200c9a66",st=v'}
index.js:52632 {CMCD-Request: 'bl=10159.094,dl=10159.094,mtp=16793.05,su', CMCD-Object: 'br=14923,ot=v,tb=14922.982', CMCD-Session: 'cid="1111-111111-111111-11111",sf=h,sid="6e2fb550-c457-11e9-bb97-0800200c9a66",st=v'}
index.js:52632 {CMCD-Request: 'bl=13573.920000000002,dl=13573.920000000002,mtp=245.29,su', CMCD-Object: 'ot=a', CMCD-Session: 'cid="1111-111111-111111-11111",sf=h,sid="6e2fb550-c457-11e9-bb97-0800200c9a66",st=v'}
index.js:52632 {CMCD-Request: 'bl=13337.557999999997,dl=13337.557999999997,mtp=21807.67,su', CMCD-Object: 'br=14923,ot=v,tb=14922.982', CMCD-Session: 'cid="1111-111111-111111-11111",sf=h,sid="6e2fb550-c457-11e9-bb97-0800200c9a66",st=v'}
index.js:52632 {CMCD-Request: 'bl=16619.41,dl=16619.41,mtp=206.64,su', CMCD-Object: 'ot=a', CMCD-Session: 'cid="1111-111111-111111-11111",sf=h,sid="6e2fb550-c457-11e9-bb97-0800200c9a66",st=v'}
